file	base	allocation_base	size	bytes_read	protect	type
region_0154_0x000000af49f2a000_0x6000_PRIVATE_READWRITE.bin	0x000000af49f2a000	0x000000af49e30000	0x6000	0x6000	READWRITE	PRIVATE
region_0155_0x000000af49f30000_0x100000_PRIVATE_READWRITE.bin	0x000000af49f30000	0x000000af49f30000	0x100000	0x100000	READWRITE	PRIVATE
region_0156_0x000000af4a12e000_0x2000_PRIVATE_READWRITE.bin	0x000000af4a12e000	0x000000af4a030000	0x2000	0x2000	READWRITE	PRIVATE
region_0157_0x000000af4a32e000_0x2000_PRIVATE_READWRITE.bin	0x000000af4a32e000	0x000000af4a230000	0x2000	0x2000	READWRITE	PRIVATE
region_0158_0x000000af4a42d000_0x3000_PRIVATE_READWRITE.bin	0x000000af4a42d000	0x000000af4a330000	0x3000	0x3000	READWRITE	PRIVATE
region_0159_0x000000af4a52e000_0x2000_PRIVATE_READWRITE.bin	0x000000af4a52e000	0x000000af4a430000	0x2000	0x2000	READWRITE	PRIVATE
region_0160_0x0000028980000000_0x3b0000_PRIVATE_READWRITE|WRITECOMBINE.bin	0x0000028980000000	0x0000028980000000	0x3b0000	0x0	READWRITE|WRITECOMBINE	PRIVATE
region_0161_0x0000028982000000_0x10000_PRIVATE_READWRITE.bin	0x0000028982000000	0x0000028982000000	0x10000	0x10000	READWRITE	PRIVATE
region_0162_0x0000028982010000_0x10000_PRIVATE_READWRITE.bin	0x0000028982010000	0x0000028982010000	0x10000	0x10000	READWRITE	PRIVATE
region_0163_0x0000028982020000_0x10000_PRIVATE_READWRITE.bin	0x0000028982020000	0x0000028982020000	0x10000	0x10000	READWRITE	PRIVATE
region_0164_0x0000028982030000_0x10000_PRIVATE_READWRITE.bin	0x0000028982030000	0x0000028982030000	0x10000	0x10000	READWRITE	PRIVATE
region_0165_0x0000028982040000_0x10000_PRIVATE_READWRITE.bin	0x0000028982040000	0x0000028982040000	0x10000	0x10000	READWRITE	PRIVATE
region_0166_0x0000028982050000_0x20000_PRIVATE_READWRITE.bin	0x0000028982050000	0x0000028982050000	0x20000	0x20000	READWRITE	PRIVATE
region_0167_0x0000028982070000_0x10000_PRIVATE_READWRITE.bin	0x0000028982070000	0x0000028982070000	0x10000	0x10000	READWRITE	PRIVATE
region_0168_0x0000028982080000_0x40000_PRIVATE_READWRITE.bin	0x0000028982080000	0x0000028982080000	0x40000	0x40000	READWRITE	PRIVATE
region_0169_0x00000289820c0000_0x10000_PRIVATE_READWRITE.bin	0x00000289820c0000	0x00000289820c0000	0x10000	0x10000	READWRITE	PRIVATE
region_0170_0x00000289820d0000_0x10000_PRIVATE_READWRITE.bin	0x00000289820d0000	0x00000289820d0000	0x10000	0x10000	READWRITE	PRIVATE
region_0171_0x00000289820e0000_0x40000_PRIVATE_READWRITE.bin	0x00000289820e0000	0x00000289820e0000	0x40000	0x40000	READWRITE	PRIVATE
region_0172_0x0000028982120000_0x10000_PRIVATE_READWRITE.bin	0x0000028982120000	0x0000028982120000	0x10000	0x10000	READWRITE	PRIVATE
region_0173_0x0000028982130000_0x10000_PRIVATE_READWRITE.bin	0x0000028982130000	0x0000028982130000	0x10000	0x10000	READWRITE	PRIVATE
region_0174_0x0000028982140000_0x10000_PRIVATE_READWRITE.bin	0x0000028982140000	0x0000028982140000	0x10000	0x10000	READWRITE	PRIVATE
region_0175_0x0000028982150000_0x10000_PRIVATE_READWRITE.bin	0x0000028982150000	0x0000028982150000	0x10000	0x10000	READWRITE	PRIVATE
